"time","CFU"
0,1e+06
0.5,1e+06
1,3191716.92071915
1.5,41852419.0373478
2,137395494.806988
2.5,365114855.660622
3,628278134.53208
3.5,899824977.560234
4,1089866748.7512
4.5,1145440013.58218
5,1188789366.99112
5.5,1232058866.04749
6,1266517427.28846
6.5,1305540102.61776
7,1343515613.93318
7.5,1387023091.88115
8,1434326161.58664
8.5,1482024318.96195
9,1537683295.4184
9.5,1581749427.66114
10,1620881859.48555
10.5,1657030616.96883
11,1702828384.59947
